"Qty";"Value";"Device";"Package";"Parts";"Description";"BOM";"COST";"MFR";"MPN";"PROD_ID";"VALUE";
"4";"";"CAPACITOR1005";"CAPC1005";"C9, C10, C11, C18";"Capacitor";"NONE";"";"";"";"";"";
"4";"";"CAPACITOR2012";"CAPC2012";"C5, C6, C7, C8";"Capacitor";"NONE";"";"";"";"";"";
"3";"";"M04PTH";"1X04";"JP2, JP3, JP4";"Header 4";"NONE";"";"";"";"";"";
"1";"";"M081X08";"1X08";"JP1";"Header 8";"NONE";"";"";"";"";"";
"1";"";"RESISTOR1005";"RESC1005";"R56";"Resistor";"NONE";"";"";"";"";"";
"28";"0";"RESISTOR1005";"RESC1005";"R5, R6, R7, R8, R13, R14, R15, R16, R17, R18, R28, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R52, R53, R54, R55, R57";"Resistor";"";"0.00480";"Panasonic";"ERJ-2GE0R00X";"";"";
"1";"0";"RESISTOR3216";"RESC3216";"R27";"Resistor";"NONE";"0.00672";"Panasonic";"ERJ-8GEY0R00V";"";"";
"8";"0.1u";"CAPACITOR1005";"CAPC1005";"C1, C2, C3, C4, C13, C14, C15, C17";"Capacitor";"";"0.01350";"Kemet";"C0402C104K9RACTU";"";"";
"10";"100K";"RESISTOR1005";"RESC1005";"R9, R10, R19, R20, R21, R22, R23, R24, R25, R26";"Resistor";"";"0.00672";"Panasonic";"ERJ-2RKF1003X";"";"";
"12";"10K";"RESISTOR1005";"RESC1005";"R4, R29, R30, R43, R44, R45, R46, R47, R48, R49, R50, R51";"Resistor";"";"0.00672";"Panasonic";"ERJ-2RKF1002X";"";"";
"1";"2.4GHZ_INVERTED_F_ANTENNA";"2.4GHZ_INVERTED_F_ANTENNA";"2.4GHZ_INVERTED_F_ANTENNA";"ANT1";"2.4 GHz Inverted F Antenna";"NONE";"";"";"";"";"";
"3";"470";"RESISTOR1005";"RESC1005";"R1, R2, R3";"Resistor";"";"0.00672";"Panasonic";"ERJ-2RKF4700X";"";"";
"1";"47u";"CAP_POL/1206";"EIA3216";"C16";"Capacitor Polarized";"";"0.23513";"Kemet";"T491A476M006AT";"";"";
"1";"5.5x2.1mm Barrel";"POWER_JACKSMD";"POWER_JACK_SMD";"J2";"Power Jack";"NONE";"";"";"";"CONN-08106";"5.5x2.1mm Barrel";
"2";"5.6K";"RESISTOR1005";"RESC1005";"R11, R12";"Resistor";"";"0.00672";"Panasonic";"ERJ-2RKF5601X";"";"";
"1";"BEAGLEBONE_OUTLINE";"BEAGLEBONE_OUTLINE";"BEAGLEBONE_SHIELD";"U1";"BeagleBone Cape Outline";"NONE";"";"";"";"";"";
"1";"CAT24C256/SOIC-8";"CAT24C256/SOIC-8";"SOIC-8";"U3";"EEPROM 256KBit 400KHz";"";"0.28463";"ON Semiconductor";"CAT24C256WI-GT3";"";"";
"1";"EPIC-CORE_A";"EPIC-CORE_A";"EPIC_LCC68";"U2";"Epic Core";"";"49.00";"Moteware";"EPIC-CORE-PCB";"";"";
"3";"FIDUCIAL1X2.5";"FIDUCIAL1X2.5";"FIDUCIAL-1X2.5";"U$3, U$4, U$5";"Fiducial Alignment Points";"NONE";"";"";"";"";"";
"1";"GREEN";"LED1608";"LEDC1608";"D2";"LED";"";"0.09250";"Everlight";"QTLP601C4TR";"";"";
"2";"KAS1102ET";"SW_DIP-2";"DIPSWITCH-02";"SW1, SW2";"Dip Switch";"";"0.77000";"E-Switch";"KAS1102ET";"";"";
"1";"LOGO";"LOGO";"LOGO";"U$2";"Flying Camp Design Logo";"NONE";"";"";"";"";"";
"1";"M07X2SHD_SMD";"M07X2SHD_SMD";"2X7-SHROUDED_SMD";"JP5";"Header 7x2";"NONE";"";"";"";"";"";
"1";"MIC2025/SOIC-8";"MIC2025/SOIC-8";"SOIC-8";"U4";"Single-Channel Power Distribution Switch";"";"0.60200";"Micrel";"MIC2025-1YM";"";"";
"1";"MSP430_BSL_HDR/SMD";"MSP430_BSL_HDR/SMD";"HIROSE_DF11G-XXDP-2V";"J1";"MSP430 BSL Programming Header";"";"0.74704";"Hirose";"DF11G-6DP-2V(50)";"";"";
"2";"PANASONIC_EVQP2";"PANASONIC_EVQP2";"PANASONIC_EVQP2";"S1, S2";"SMD Light Touch Switch";"";"0.45619";"Panasonic";"EVQ-P2K02Q";"";"";
"1";"RED";"LED1608";"LEDC1608";"D1";"LED";"";"0.07500";"Everlight";"QTLP600C7TR";"";"";
"1";"YELLOW";"LED1608";"LEDC1608";"D3";"LED";"";"0.07600";"Everlight";"QTLP600CYTR";"";"";
